date;agua_vermelha;belo_monte;dona_francisca;emborcacao;furnas;ita;itaipu;itumbiara;lageado;nova_avanhandava;nova_ponte;porto_primavera;rosana;salto_caxias;santa_cecilia;santo_antonio;sao_luiz_do_tapajos;sao_simao;serra_da_mesa;sobradinho;teles_pires;tres_marias;tucurui;xingo
1961-01-01;265.2;262.12;134.54;547.95;368.1;137.6;160.09;409.41;309.91;196.56;398.87;158.22;255.58;110.65;257.33;130.32;266.11;340.22;377.98;304.24;309.16;468.04;298.56;111.92
1961-02-01;317.49;202.62;142.88;257.32;284.77;175.51;172.02;279.65;146.75;231.07;384.21;180.62;199.34;161.9;260.38;180.92;261.42;243.35;180.75;97.05;227.16;248.26;161.93;60.97
1961-03-01;183.57;242.76;207.94;162.2;197.2;231.97;139.09;167.87;100.12;129.74;200.35;110.87;146.96;224.07;250.33;170.22;306.39;177.21;100.38;70.61;279.4;130.2;154.27;80.04
1961-04-01;96.25;137.15;192.41;41.38;90.83;130.34;231.87;46.69;61.21;94.61;81.57;184.31;140.05;128.31;99.44;158.12;146.79;84.71;82.25;36.42;126.8;55.74;85.6;27.77
1961-05-01;56.42;115.59;98.05;43.02;52.67;68.27;83.04;47.64;34.37;46.54;85.4;44.12;32.52;84.6;45.81;95.08;146.58;24.03;60.31;12.85;114.66;37.97;64.15;15.28
1961-06-01;2.17;28.67;233.59;1.78;2.82;104.11;114.86;0.58;4.82;10.71;0.01;54.7;13.38;107.34;34.28;35.85;21.9;1.94;4.22;3.22;25.06;3.04;13.58;24.51
1961-07-01;0.23;14.86;122.82;0.03;0.58;80.45;12.29;0.13;3.71;1.53;0.02;3.46;1.46;26.61;20.77;8.28;11.08;1.07;3.22;1.26;16.27;0.86;7.58;15.17
1961-08-01;6.01;19.86;120.98;0.64;2.61;87.12;32.62;0.34;3.44;10.95;3.54;23.22;13.44;61.67;22.58;6.33;25.64;4.36;4.36;0.87;31.82;1.46;10.3;4.72
1961-09-01;2.75;38.13;360.69;0.62;3.14;354.42;90.09;1.27;5.41;14.77;0.3;58.42;16.48;255.32;16.68;37.91;52.65;8.24;3.04;1.51;39.78;0.24;15.55;1.18
1961-10-01;82.29;103.08;268.5;81.21;54.5;226.17;148.49;100.62;51.53;86.12;89.91;129.6;95.5;195.26;89.83;136.29;147.21;118.27;70.94;31.03;120.21;58.87;82.66;4.25
1961-11-01;155.79;117.35;99.26;127.85;153.68;181.7;229.77;143.78;61.82;130.15;136.53;154.74;142.53;199.27;172.03;188.19;168.37;160.59;121.33;34.24;156.09;116.85;107.86;7.71
1961-12-01;216.41;245.84;105.43;308.12;221.61;141.32;99.29;287.32;278.05;215.68;238.07;151.42;133.83;115.92;215.68;192.21;300.1;236.63;284.89;180.4;287.25;227.88;247.19;27.48
1962-01-01;268.18;273.88;89.58;427.28;268.02;102.85;145.84;346.82;218.99;161.41;399.94;115.59;177.77;150.41;268.93;226.21;320.28;321.44;234.97;258.23;324.86;374.42;292.86;94.73
1962-02-01;229.08;277.99;40.77;301.25;329.96;104.19;185.73;249.43;242.18;206.23;231.83;139.96;116.62;180.65;265.84;202.25;317.19;191.43;160.22;105.4;342.26;213.11;223.55;51.64
1962-03-01;243.08;264.12;137.58;231.66;155.09;92.76;125.31;265.44;164.45;249.02;229.47;183.67;130.03;146.28;196.64;203.4;255.43;213.85;212.56;117.79;196.91;144.27;227.56;68.42
1962-04-01;27.27;207.51;70.57;66.22;45.05;69.38;100.1;84.09;107.54;28.21;65.37;60.9;48.01;86.11;67.95;148.56;214.15;56.96;36.09;46.83;144.7;28.79;157.85;50.91
1962-05-01;20.65;67.17;102.03;19.4;31.5;160.09;88.08;9.24;13.55;20.1;10.89;38.13;53.38;104.31;55.71;59.04;63.03;21.34;6.15;15.72;38.98;15.6;30.81;39.5
1962-06-01;45.14;23.43;29.12;18.23;18.41;47.04;78.36;16.82;2.56;55.58;23.15;63.04;86.7;49.41;21.83;21.44;26.71;29.64;0.69;3.24;17.95;21.47;18.14;34.11
1962-07-01;4.29;16.09;85.59;2.08;4.05;119.15;28.4;1.01;2.55;16.97;2.95;22.79;2.94;75.3;30.4;5.63;9.41;0.73;2.47;2.1;8.16;3.05;7.81;16.78
1962-08-01;23.73;21.44;84.01;13.52;23.44;61.07;54.14;15.64;5.12;38.69;10.39;55.49;23.09;51.8;62.76;41.43;21.54;21.69;16.43;1.8;26.83;5.43;8.77;8.44
1962-09-01;54.37;65.25;85.05;52.66;75.17;148.61;162.84;52.79;39.32;41.31;67.33;82.8;51.09;176.72;104.33;73.65;97.21;34.34;71.24;23.84;85.3;65.05;41.46;6.09
1962-10-01;224.04;218.73;70.24;202.25;210.55;94.45;228.83;216.01;153.19;219.44;228.72;225.66;149.51;218.12;196.43;91.61;200.57;165.67;157.31;73.09;252.91;154.91;122.07;5.1
1962-11-01;81.46;185.44;61.55;238.16;150.3;94.64;127.14;199.35;91.83;79.15;142.12;81.73;101.34;85.76;106.6;108.34;189.16;152.41;163.12;148.17;153.93;139.36;174.11;47.92
1962-12-01;388.69;326.58;75.6;624.94;425.51;55.22;116.16;512.2;357.07;257.38;613.46;148.71;227.53;64.44;279.02;210.47;343.57;523.5;411.88;322.22;405.54;527.39;319.04;51.89
1963-01-01;233.67;207.65;187.52;164.84;174.95;295.06;266.06;157.98;201.31;264.27;191.35;283.06;218.45;253.3;154.93;195.53;202.19;209.42;193.73;88.5;190.57;88.84;201.66;46.61
1963-02-01;172.63;292.26;46.76;287.98;181.92;138.59;136.19;281.51;264.15;150.56;237.29;148.51;161.23;135.02;253.78;249.91;254.4;237.36;254.99;138.19;297.0;168.52;279.09;111.88
1963-03-01;71.92;238.65;122.29;28.01;60.51;212.41;208.37;27.75;114.65;72.91;42.42;129.33;116.79;186.91;127.22;141.04;227.74;63.92;89.67;14.35;206.06;24.3;205.21;56.88
1963-04-01;17.24;181.28;57.56;90.22;15.1;52.38;47.24;96.68;96.13;23.04;27.95;15.82;46.08;41.51;21.06;104.59;189.18;51.06;107.14;51.64;156.07;16.59;124.1;63.98
1963-05-01;4.51;63.21;86.18;0.42;12.45;70.78;62.03;2.66;48.42;3.11;12.26;10.72;9.55;68.25;18.88;59.5;79.49;5.87;20.79;8.87;45.07;3.37;52.94;19.78
1963-06-01;0.92;24.55;98.33;0.04;0.56;34.47;71.16;0.09;3.04;6.8;0.02;35.36;9.99;47.33;13.1;36.9;16.89;1.33;2.64;0.79;9.29;0.15;10.33;14.34
1963-07-01;0.17;14.72;81.97;0.03;0.7;68.34;15.55;0.08;2.38;1.34;0.01;3.22;1.3;31.35;9.85;9.72;8.09;0.69;2.08;0.82;7.6;0.05;6.05;5.83
1963-08-01;3.43;5.76;177.31;0.01;6.11;157.56;18.9;0.07;1.81;5.36;0.0;12.19;7.68;54.68;19.36;10.26;6.1;1.24;1.55;1.02;5.2;1.03;4.49;2.62
1963-09-01;5.55;19.02;227.48;0.76;0.19;206.26;90.67;7.09;4.27;13.07;3.78;61.01;24.93;128.2;9.99;28.58;32.21;25.06;8.55;0.34;21.56;2.13;10.9;1.87
1963-10-01;74.22;55.2;269.21;27.17;89.38;235.17;187.18;28.68;32.73;105.43;66.16;156.38;68.77;248.33;132.8;80.74;71.55;41.82;42.25;9.28;54.18;57.64;50.45;5.87
1963-11-01;123.82;188.06;273.12;103.61;120.61;198.01;269.8;140.05;153.0;125.44;167.79;171.62;155.69;227.27;166.22;125.06;235.66;146.29;211.6;100.6;206.16;105.7;150.66;44.7
1963-12-01;70.14;241.29;140.46;136.63;85.4;112.23;136.03;137.84;202.86;82.74;81.41;103.88;104.4;149.56;136.65;148.07;249.21;94.62;175.9;199.94;216.6;76.48;239.13;153.86
1964-01-01;246.17;404.14;45.44;474.03;337.97;80.63;91.07;466.37;516.15;125.72;378.19;75.77;159.2;63.9;199.74;193.21;342.29;387.6;594.84;381.84;351.06;398.02;485.01;172.28
1964-02-01;276.96;345.13;86.76;296.65;305.03;123.53;248.43;364.14;272.67;316.58;289.2;308.34;292.71;176.58;283.26;187.89;304.56;336.08;308.36;189.62;260.36;275.26;314.17;163.63
1964-03-01;78.31;312.5;79.5;113.8;43.48;107.72;121.54;150.96;184.55;67.93;123.41;112.47;93.1;157.96;87.99;167.51;268.87;121.59;166.23;67.57;259.66;64.75;230.96;111.44
1964-04-01;46.71;174.19;177.59;41.19;34.67;154.23;105.06;58.21;107.1;33.08;79.77;47.19;43.15;135.24;86.34;83.43;158.44;102.93;96.63;32.15;132.93;37.29;152.66;118.98
1964-05-01;57.13;110.06;28.07;45.59;57.64;38.2;57.36;60.91;39.73;49.23;71.82;50.62;32.08;56.22;64.03;77.08;130.05;57.43;67.49;19.87;89.36;36.75;82.36;56.05
1964-06-01;10.99;37.73;47.17;0.82;17.57;75.48;97.85;1.05;4.02;28.15;14.26;97.75;15.04;153.71;41.48;31.8;53.01;0.87;3.51;1.5;28.02;11.31;13.19;35.7
1964-07-01;40.76;17.27;98.96;10.25;33.44;72.44;65.57;11.53;9.37;56.3;24.35;58.78;36.56;103.35;51.86;18.27;19.85;23.82;9.35;8.82;15.75;25.39;8.24;22.54
1964-08-01;3.84;12.82;215.57;0.19;4.42;147.65;131.81;0.06;1.69;26.53;0.13;57.85;35.47;183.01;32.84;24.35;23.93;3.63;0.33;1.92;14.53;1.81;4.83;25.39
1964-09-01;63.29;47.5;162.59;35.7;40.03;136.29;77.08;50.72;4.82;84.66;47.58;70.4;43.05;122.1;57.89;80.64;68.49;55.21;10.26;5.86;42.59;13.89;25.56;12.75
1964-10-01;166.37;190.57;115.05;339.98;181.64;120.81;105.28;249.96;129.49;137.33;243.77;113.57;159.75;95.12;154.27;179.17;215.66;208.09;129.39;97.53;221.05;211.81;183.71;11.7
1964-11-01;132.29;197.78;41.21;281.0;118.9;61.85;140.45;223.98;261.07;98.74;170.16;108.03;134.63;103.54;115.84;160.1;214.58;205.2;238.48;232.67;251.95;209.97;219.33;36.01
1964-12-01;306.3;220.32;146.45;334.39;295.98;116.91;193.02;267.29;161.32;311.05;305.13;264.58;221.4;141.98;241.11;138.74;235.88;259.08;191.49;191.21;230.65;296.57;183.43;35.88
1965-01-01;315.08;310.17;50.61;344.9;358.98;98.19;182.13;282.46;212.63;300.82;361.22;254.96;223.14;139.83;320.19;218.49;305.83;288.79;191.29;153.29;321.01;290.15;253.21;52.94
1965-02-01;296.3;266.87;173.38;398.02;297.3;92.68;241.05;324.14;158.43;276.6;388.25;209.04;233.9;154.27;192.68;162.92;264.53;255.34;189.85;136.15;243.59;342.51;230.91;43.4
1965-03-01;168.64;374.33;83.94;409.03;171.98;95.14;112.08;309.32;267.93;158.32;283.25;101.93;155.11;93.52;162.96;196.31;387.62;258.05;227.09;189.54;309.2;207.69;308.97;112.64
1965-04-01;53.34;265.33;130.99;89.37;66.67;134.63;183.04;99.71;107.48;69.61;43.23;156.54;100.09;196.14;118.28;163.52;258.02;118.63;140.19;96.69;236.78;46.39;175.89;144.57
1965-05-01;36.06;64.32;80.37;9.49;71.81;97.47;167.71;6.8;4.54;82.47;14.58;147.03;61.5;155.81;75.83;50.3;61.7;10.87;14.89;8.5;37.77;50.41;21.9;14.17
1965-06-01;29.9;40.94;50.01;15.56;20.65;55.4;121.91;21.44;2.95;29.91;21.47;55.37;42.86;77.24;53.8;21.85;38.2;30.76;8.87;3.53;23.72;17.9;15.75;25.13
1965-07-01;58.27;34.94;81.13;18.62;42.01;139.15;116.6;11.85;3.3;64.55;23.91;114.59;67.99;208.05;58.92;51.13;37.46;13.07;5.77;6.54;25.92;32.84;18.73;11.13
1965-08-01;12.05;15.38;276.45;9.54;21.36;301.48;71.32;4.67;1.29;10.52;29.71;44.65;15.34;102.67;32.55;23.33;23.73;4.84;1.98;2.51;13.85;26.52;5.7;4.96
1965-09-01;65.35;33.8;278.42;56.19;61.23;253.46;92.14;49.72;7.02;70.93;64.65;84.54;43.46;163.12;72.66;69.88;56.77;32.17;15.82;14.32;46.63;62.31;18.16;6.06
1965-10-01;172.55;234.59;215.58;284.0;198.33;164.27;245.78;277.31;250.89;154.6;195.48;129.58;164.38;208.81;197.58;124.65;244.87;259.63;304.95;149.92;297.82;227.42;240.7;18.69
1965-11-01;160.97;168.06;97.45;272.42;171.27;93.46;95.83;260.98;203.88;146.25;206.66;101.72;136.78;144.89;173.08;119.64;186.68;214.92;209.54;177.46;209.13;193.25;192.39;32.72
1965-12-01;277.74;214.78;246.46;281.45;231.08;224.15;313.46;222.1;209.31;250.23;252.58;265.29;244.24;251.15;263.74;168.21;193.57;210.23;164.11;101.03;245.23;183.76;207.87;20.43
1966-01-01;241.25;232.98;199.3;449.85;333.87;185.68;118.67;330.31;214.45;179.34;370.17;134.02;220.54;149.22;273.69;161.22;179.54;292.63;207.62;209.92;200.7;355.22;267.9;61.0
1966-02-01;207.95;300.02;213.13;328.46;154.61;261.55;162.13;309.6;289.45;183.16;232.86;169.88;231.07;271.93;188.28;207.88;226.37;280.76;347.96;220.84;259.84;161.74;300.52;135.26
1966-03-01;230.52;295.07;186.88;158.63;198.72;134.97;130.3;181.02;216.35;132.09;265.15;105.86;114.33;113.6;259.86;148.73;214.37;176.93;262.46;109.87;200.95;157.01;260.98;47.77
1966-04-01;84.07;194.14;38.98;112.44;51.66;56.49;43.89;116.88;161.66;58.3;90.56;71.52;46.66;55.56;79.15;121.18;159.59;77.49;77.34;117.51;124.22;50.13;157.96;168.6
1966-05-01;60.98;117.22;11.93;58.41;33.99;37.44;111.73;64.01;26.84;50.61;63.81;73.91;117.07;65.91;54.97;102.42;114.11;61.97;42.16;15.74;115.35;36.66;51.31;25.45
1966-06-01;0.48;36.29;246.81;0.09;0.57;200.27;94.86;0.49;5.78;1.56;0.03;41.03;5.42;166.04;9.21;54.34;34.65;1.63;2.56;2.03;20.09;0.1;22.78;23.79
1966-07-01;3.89;28.74;179.64;0.9;4.08;82.04;41.37;0.92;4.48;16.49;2.43;45.14;20.69;58.23;24.42;13.61;28.04;5.51;3.2;0.68;28.25;1.68;11.37;20.07
1966-08-01;14.67;16.48;201.06;0.18;12.33;138.91;29.49;3.21;3.28;30.35;2.42;45.35;25.25;76.55;74.91;11.39;25.07;12.0;4.91;0.23;19.89;1.01;6.54;4.75
1966-09-01;46.22;60.14;163.08;56.0;37.34;153.53;74.04;60.98;49.05;74.82;59.48;73.87;41.44;121.94;56.29;73.5;70.96;34.83;75.32;24.83;49.5;34.38;36.64;7.7
1966-10-01;157.85;133.45;268.66;208.62;161.75;203.66;224.67;152.02;135.02;159.81;204.24;201.91;211.95;265.85;197.46;126.41;135.48;148.01;167.79;67.3;152.51;139.61;147.59;6.42
1966-11-01;173.73;171.39;99.48;173.25;189.84;76.52;56.22;190.29;145.39;89.38;241.44;63.21;97.06;88.51;212.54;134.45;183.1;153.41;124.03;129.33;141.22;165.03;162.02;46.07
1966-12-01;308.95;240.49;265.39;444.56;299.43;205.62;121.59;372.43;305.28;256.93;368.9;142.01;176.07;196.12;325.44;173.72;203.19;274.37;335.75;233.66;216.64;354.75;251.14;64.39
1967-01-01;306.81;221.38;105.2;203.94;306.62;126.43;215.26;195.3;127.84;273.42;379.56;180.55;264.66;176.44;375.31;174.77;211.83;190.47;200.66;101.83;202.75;265.92;173.21;33.96
1967-02-01;232.07;302.61;131.42;256.52;181.53;172.24;176.3;213.31;194.26;185.79;297.6;132.24;181.72;199.8;305.21;152.0;282.88;150.94;152.09;106.24;272.69;162.18;257.09;87.97
1967-03-01;195.6;329.53;109.57;184.81;174.83;107.91;114.96;199.69;252.15;165.64;221.2;146.57;178.52;168.93;260.73;204.24;276.25;191.94;261.71;122.95;273.73;144.79;324.45;145.03
1967-04-01;39.04;262.05;34.21;92.85;37.49;51.27;15.93;126.16;182.67;23.52;47.06;9.43;54.32;26.28;48.63;91.91;224.56;72.42;208.03;111.77;211.14;43.57;229.94;130.54
1967-05-01;8.77;124.93;123.47;1.65;2.88;60.47;22.59;1.41;10.37;6.53;3.07;3.69;3.05;47.54;19.65;40.98;115.98;4.47;6.99;5.74;77.89;0.72;45.77;65.81
1967-06-01;50.3;39.26;90.27;7.62;30.38;67.33;143.02;4.27;6.3;78.58;24.22;155.5;44.71;138.72;60.82;31.49;35.21;14.14;5.9;2.56;41.93;8.03;17.76;27.17
1967-07-01;2.52;17.75;163.74;0.04;1.46;82.66;106.9;0.05;3.23;17.61;0.26;58.06;8.24;78.9;34.06;19.78;17.03;1.18;2.47;0.46;19.39;0.2;6.96;13.71
1967-08-01;0.92;13.64;223.21;0.72;1.32;174.35;35.26;4.1;2.86;2.19;0.0;15.41;0.56;109.62;14.8;16.75;20.52;0.39;3.96;0.52;17.74;0.01;5.93;8.35
1967-09-01;56.44;42.91;298.53;29.61;22.95;255.4;28.24;40.63;51.11;79.58;31.05;59.44;36.12;91.31;78.14;35.71;52.88;37.21;48.58;18.66;41.74;12.73;48.89;11.11
1967-10-01;142.02;153.42;133.5;76.11;116.21;125.77;101.79;97.21;64.41;157.08;139.22;89.28;99.73;123.72;167.88;126.91;159.32;111.62;64.27;27.13;158.56;87.3;117.82;6.9
1967-11-01;204.74;180.64;95.39;213.79;225.63;136.67;110.5;257.45;152.2;175.36;240.36;133.86;137.5;146.34;185.97;120.39;202.5;216.73;202.53;211.53;191.05;266.63;186.54;37.44
1967-12-01;269.52;161.26;78.38;347.33;264.19;73.4;106.87;254.31;200.07;165.56;362.51;111.32;121.89;110.03;229.93;144.13;175.15;214.6;181.93;296.23;162.74;273.3;164.74;138.47
1968-01-01;180.74;242.09;108.2;140.75;229.7;95.74;246.09;175.37;198.63;237.13;200.06;284.25;214.82;179.35;214.73;211.14;273.81;181.15;193.44;60.19;305.04;163.02;204.25;31.4
1968-02-01;142.87;285.15;83.1;335.21;170.25;49.22;86.41;275.03;340.39;93.84;307.02;60.32;143.06;51.58;143.21;183.91;306.43;297.39;329.95;276.11;330.27;291.85;311.5;74.86
1968-03-01;98.82;261.07;129.12;119.29;87.87;133.68;113.69;138.62;164.76;109.83;87.75;122.31;111.24;135.2;167.41;133.92;225.44;101.57;155.88;128.93;215.62;54.45;230.19;163.3
1968-04-01;38.74;203.92;86.94;82.85;50.31;104.33;111.91;67.2;103.32;38.11;57.71;54.25;51.41;129.13;51.4;86.96;231.27;45.81;104.32;49.52;199.63;59.88;117.84;34.15
1968-05-01;5.24;121.67;36.34;21.02;9.27;16.19;76.43;10.07;40.62;26.29;17.39;27.64;26.54;28.9;26.63;27.9;114.83;8.25;7.42;8.2;79.94;16.47;66.62;51.17
1968-06-01;3.06;20.72;74.37;0.22;0.55;54.59;43.67;1.02;1.81;32.28;0.02;27.69;15.4;49.88;17.79;16.71;26.97;2.9;0.78;0.55;20.39;0.09;8.44;19.08
1968-07-01;4.46;20.36;92.24;0.92;6.53;82.45;23.71;1.14;2.81;10.86;5.39;12.88;3.49;54.79;23.11;36.42;17.2;1.69;1.14;1.87;18.87;1.69;9.12;15.14
1968-08-01;39.38;27.94;14.61;34.07;40.99;16.68;82.57;28.94;5.23;45.52;29.4;66.28;37.13;55.42;45.02;67.75;59.0;23.98;3.4;7.53;42.39;27.33;17.1;4.23
1968-09-01;26.18;95.14;165.5;49.13;51.23;151.99;58.18;80.31;42.4;19.53;17.86;26.97;28.64;84.1;42.65;69.09;101.01;9.68;74.85;15.49;98.37;41.84;69.59;1.74
1968-10-01;133.27;125.56;143.89;139.76;143.71;109.63;183.96;130.06;130.74;111.66;166.78;133.94;133.9;178.01;84.96;116.9;166.31;98.82;153.24;82.98;138.54;131.76;106.73;20.63
1968-11-01;118.64;218.85;132.27;215.86;132.6;125.62;80.53;250.04;361.95;79.22;188.29;99.01;110.14;97.48;90.75;132.8;188.18;148.02;348.47;225.24;201.38;165.04;255.15;70.8
1968-12-01;201.63;263.83;110.03;219.96;243.86;160.18;159.64;223.96;281.57;136.88;278.21;144.5;197.87;165.39;230.55;211.85;284.96;235.97;236.56;182.05;268.32;215.8;247.31;52.86
1969-01-01;159.0;231.23;203.66;144.81;265.65;190.76;140.12;144.28;200.03;129.67;241.39;137.28;110.43;196.66;228.43;185.27;262.24;165.49;233.46;161.71;242.15;236.23;212.22;88.24
1969-02-01;149.93;244.28;188.99;156.58;174.3;198.9;103.38;150.54;186.83;117.78;120.7;128.53;106.92;183.75;184.18;144.9;226.53;150.11;199.81;139.26;227.72;126.52;200.0;80.86
1969-03-01;102.07;276.95;68.93;133.77;103.99;145.45;82.63;116.71;182.88;96.29;134.9;87.09;70.53;148.69;148.28;163.11;271.89;93.55;164.88;153.38;244.35;77.95;218.51;178.87
1969-04-01;66.16;166.3;94.43;42.59;51.73;115.93;128.22;48.36;65.49;59.68;54.63;81.22;59.5;183.25;95.05;84.19;170.35;48.72;57.27;36.21;132.72;32.36;133.74;34.09
1969-05-01;27.85;106.83;159.33;11.9;28.05;84.54;184.89;17.26;49.03;27.81;24.39;79.48;40.3;155.37;49.7;91.71;82.85;30.98;44.15;14.79;63.58;17.77;62.22;30.94
1969-06-01;24.51;32.3;76.63;5.22;29.54;131.92;130.48;5.12;6.86;30.96;12.13;104.73;22.42;161.64;31.81;33.61;32.56;1.63;0.1;3.5;26.3;19.81;14.42;31.24
1969-07-01;7.39;27.8;45.58;2.35;8.05;67.19;35.42;0.65;8.28;9.05;4.83;37.61;4.86;92.14;11.85;6.08;21.75;0.39;0.08;3.05;17.07;6.28;13.49;41.95
1969-08-01;14.22;19.63;84.22;0.63;27.26;90.5;16.28;1.75;7.57;20.86;1.49;17.12;5.45;59.13;52.15;16.65;22.94;1.1;0.31;2.28;15.92;8.26;9.14;5.72
1969-09-01;33.61;63.18;105.5;14.37;15.17;139.58;169.92;11.35;8.62;53.91;31.58;89.02;53.62;171.89;32.63;99.8;97.96;11.15;11.9;9.55;64.39;24.48;30.49;1.06
1969-10-01;170.92;108.01;77.6;138.03;151.26;89.01;218.69;166.43;107.44;171.1;257.07;179.84;159.55;148.52;143.55;120.01;162.66;156.42;107.3;58.48;138.98;175.31;110.51;1.26
1969-11-01;222.7;136.17;169.62;336.16;261.59;193.88;165.83;316.19;169.99;232.32;250.98;180.96;156.49;173.02;214.8;161.57;182.56;256.79;313.9;168.44;173.17;219.03;170.82;13.84
1969-12-01;173.34;219.27;115.12;271.46;194.89;68.51;109.56;304.73;396.17;119.84;301.55;94.46;135.04;101.81;168.76;141.67;238.85;226.29;423.58;322.61;227.63;241.49;251.98;75.63
1970-01-01;290.85;275.82;101.2;333.03;240.64;123.97;113.35;380.77;395.61;285.34;322.6;166.14;160.53;119.33;266.25;127.78;241.83;256.87;324.31;257.14;278.51;277.37;331.11;133.33
1970-02-01;311.47;283.82;79.56;175.78;179.94;103.57;147.76;208.94;196.11;334.01;220.94;174.03;148.25;124.29;248.41;205.94;280.76;239.74;195.29;87.02;308.22;132.81;234.76;36.95
1970-03-01;104.99;231.38;145.7;83.98;77.78;131.36;136.65;126.65;141.13;113.27;108.32;105.48;123.5;129.35;121.85;219.49;227.38;151.98;138.38;53.43;226.76;55.61;211.38;75.8
1970-04-01;52.94;181.55;58.66;81.64;61.07;47.97;66.9;75.55;97.04;47.13;73.22;50.85;51.18;64.98;69.81;137.88;216.02;65.73;114.66;51.33;169.84;69.33;113.5;15.77
1970-05-01;25.24;64.55;214.63;1.15;14.99;171.66;89.07;1.13;2.16;48.09;11.26;78.96;66.36;105.08;28.79;114.83;84.97;15.0;2.28;1.72;68.43;1.85;25.26;2.85
1970-06-01;39.59;43.27;202.6;5.91;25.48;212.27;159.27;1.96;0.84;52.55;18.93;143.81;50.27;248.47;48.49;33.88;43.32;5.86;2.11;1.31;28.7;7.81;16.35;6.83
1970-07-01;27.33;18.52;132.68;3.52;27.56;141.41;72.57;1.56;0.19;17.89;16.95;29.84;11.82;106.11;44.91;16.66;20.7;1.35;0.13;1.4;17.56;22.32;5.47;11.51
1970-08-01;47.67;33.45;115.77;7.83;74.26;112.14;54.72;7.44;0.13;83.82;18.69;100.08;31.74;47.9;113.72;8.71;39.91;1.62;0.46;1.48;24.61;21.19;11.79;6.93
1970-09-01;83.39;61.81;61.99;69.93;82.09;100.78;152.97;62.09;36.66;89.9;99.04;105.13;82.11;143.15;92.85;55.34;78.79;49.16;61.76;15.99;60.24;55.36;59.43;1.72
1970-10-01;128.06;138.88;129.89;125.1;120.04;133.25;141.7;129.67;166.82;93.4;151.25;121.43;141.78;165.57;109.76;112.33;151.63;148.28;162.3;144.01;170.94;155.77;153.07;54.02
1970-11-01;146.48;188.33;33.32;157.3;184.93;31.62;91.54;162.8;196.59;94.81;175.36;45.57;134.43;43.31;140.1;89.85;163.86;220.35;209.37;198.75;153.77;186.35;210.33;74.99
1970-12-01;153.39;136.45;314.68;120.92;105.79;280.07;258.1;166.8;102.56;162.59;105.71;285.48;146.9;326.96;172.51;203.15;205.54;155.63;123.0;85.61;203.06;88.15;121.85;36.73
1971-01-01;119.97;196.22;124.64;105.24;129.41;192.57;177.99;125.62;133.49;126.91;94.11;188.02;172.18;240.73;132.64;179.39;205.04;150.62;127.1;67.18;200.42;83.46;153.87;24.43
1971-02-01;165.78;174.27;144.28;149.33;70.0;179.24;157.07;159.88;161.7;134.54;136.61;148.98;155.99;157.12;162.1;208.79;198.46;170.8;161.1;75.31;204.4;80.85;158.23;50.12
1971-03-01;168.64;241.36;236.4;157.1;121.62;163.08;162.73;133.49;195.29;166.29;177.99;126.76;119.09;175.2;202.94;173.49;254.53;138.06;194.89;86.95;236.8;103.55;213.38;95.49
1971-04-01;80.97;119.24;125.85;64.91;64.24;188.75;105.11;101.92;169.27;61.03;60.83;76.96;60.45;157.7;87.28;134.36;177.18;52.52;123.18;96.11;144.53;54.38;134.35;179.22
1971-05-01;54.08;126.47;99.75;14.51;19.76;125.36;167.5;17.88;11.81;64.81;19.03;116.41;85.7;191.36;52.55;69.89;127.15;27.62;16.57;5.79;100.9;9.87;59.32;34.16
1971-06-01;99.62;84.27;190.39;18.89;86.63;192.82;148.97;18.89;7.61;115.69;47.52;143.26;88.54;171.03;93.72;19.7;72.94;26.54;6.15;10.33;45.34;59.14;29.04;24.57
1971-07-01;44.06;37.44;124.26;18.03;5.37;119.23;162.1;23.38;1.11;48.37;18.64;110.88;71.54;135.14;23.86;18.93;46.95;18.54;4.77;1.84;40.16;2.52;13.26;11.45
1971-08-01;17.82;28.43;154.11;0.17;6.07;170.72;23.59;2.49;2.08;7.63;0.13;15.38;1.22;64.2;34.75;40.09;42.99;0.75;14.36;2.05;26.23;0.46;8.89;12.1
1971-09-01;88.32;58.72;75.28;76.02;65.83;101.19;147.39;74.72;38.28;66.01;85.45;99.14;85.4;113.71;88.75;86.63;96.93;50.04;57.6;28.18;64.33;86.9;60.22;19.83
1971-10-01;141.95;201.11;56.69;165.57;131.18;82.82;136.14;154.9;177.57;129.49;163.58;81.14;115.97;128.4;159.4;131.85;217.18;159.13;203.21;111.79;257.31;142.38;199.16;23.62
1971-11-01;142.02;211.07;43.68;275.59;185.61;39.87;55.17;279.88;291.89;91.06;204.04;44.16;81.17;54.54;161.28;149.97;203.64;170.82;283.1;258.05;209.07;286.46;207.87;33.23
1971-12-01;329.57;122.33;115.78;378.3;276.14;87.99;176.01;353.11;203.33;207.06;373.52;199.03;261.63;140.49;239.04;132.76;156.13;321.74;228.67;166.97;174.25;373.0;165.96;38.37
1972-01-01;264.3;236.02;201.24;133.59;195.17;190.61;137.22;138.8;156.67;293.88;206.22;269.33;236.94;185.06;218.28;167.28;245.13;191.4;120.24;69.43;241.48;124.66;217.81;74.33
1972-02-01;287.03;318.91;174.64;187.25;249.03;245.12;229.61;251.95;177.88;285.66;226.56;277.37;279.05;225.62;232.14;204.11;323.32;231.57;172.6;112.96;317.5;175.15;235.94;54.76
